Vehicle_ID,Velocity (m/s),Acceleration (m/s^2),Eccentricity,Community Neighborhood,Distance from RSU (m),RSU_Location,Latitude,Longitude,Vehicle_Type,Lane
Car_89,28.04,-1.25,0.69,15,11.65,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Truck_4,24.01,11.56,0.09,14,20.33,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Bus_35,22.4,7.01,0.13,11,2.81,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Bus_91,27.03,-5.07,0.33,20,16.93,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Police vehicle_72,0,0,0,7,1.97,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Bus_69,25.1,3.14,0.99,10,13.13,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Bus_10,25.08,5.41,0.35,4,29.05,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Police vehicle_99,10.02,5.37,0.47,12,18.15,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Truck_66,0,0,0,19,23.22,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Bus_7,27.41,-4.53,0.65,10,20.75,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Car_31,19.4,4.55,0.57,15,23.26,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Car_86,0,0,0,12,8.8,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Truck_18,23.18,10.4,0.9,15,16.53,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Truck_92,24.25,2.4,0.17,20,9.52,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Bus_40,22.52,-7.01,0.04,2,26.14,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Police vehicle_85,13.5,-0.17,0.27,17,27.1,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Police vehicle_1,13.1,-1.72,0.04,2,4.74,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Car_57,25.45,-2.73,0.91,1,20.88,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Truck_83,24.09,12.94,0.18,3,1.77,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Bus_90,0,0,0,3,11.18,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Bus_34,22.11,13.09,0.22,10,6.28,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Truck_52,23.9,-0.51,0.35,14,16.68,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Truck_19,25.33,12.2,0.91,5,10.81,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Car_84,0,0,0,18,17.68,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Car_29,37.77,9.81,0.8,7,10.2,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Bus_64,23.37,14.83,0.74,11,0.25,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Police vehicle_81,10.86,4.15,0.29,2,26.56,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Truck_21,24.95,-1.06,0.8,12,16.56,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Police vehicle_54,11.68,9.48,0.43,5,28.85,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Bus_26,25.81,13.87,0.18,7,28.44,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Car_96,28.46,-17.76,0.21,3,16.44,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Police vehicle_61,13.49,4.5,0.06,18,21.49,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Truck_45,23.77,-4.58,0.79,17,23.03,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Bus_67,23.34,-7.77,0.95,18,19.34,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Bus_65,22.63,-9.14,0.6,14,11.79,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Car_28,40.12,9.23,0.36,20,26.37,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Car_94,22.65,-5.96,0.72,10,19.58,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Truck_93,24.89,11.05,0.37,9,26.06,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Police vehicle_80,10.37,0.79,0.11,12,1.41,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
