Vehicle_ID,Velocity (m/s),Acceleration (m/s^2),Eccentricity,Community Neighborhood,Distance from RSU (m),RSU_Location,Latitude,Longitude,Vehicle_Type,Lane
Police vehicle_6,0,0,0,3,29.97,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Police vehicle_33,0,0,0,2,24.83,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Truck_31,28.75,-6.68,0.7,2,14.69,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Truck_15,0,0,0,1,15.06,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Bus_32,24.77,-1.77,0.83,3,0.7,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Police vehicle_37,0.15,0.66,0.04,4,7.35,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Bus_42,21.93,5.3,0.7,5,13.23,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Car_43,35.02,14.31,0.24,1,17.1,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Bus_35,27.58,3.31,0.08,3,14.91,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Bus_39,29.77,2.17,0.51,1,3.66,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Truck_14,28.83,8.9,0.98,3,12.86,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Car_24,0,0,0,3,25.9,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Bus_25,27.02,-5.47,0.03,4,22.62,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Car_7,38.06,16.88,0.22,2,17.19,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Car_20,37.17,2.15,0.16,3,26.45,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
